Timestamp, Event, Event Data
16-09-2025 18:58:45, Boiler Status Update, Boiler Status changed to Lockout.

16-09-2025 18:58:45, Toggle Interlock, Interlock Switch toggled to Open.

16-09-2025 18:58:49, Toggle Interlock, Interlock Switch toggled to Closed.

16-09-2025 18:58:51, Boiler Status Update, Boiler Status changed to Ready.

16-09-2025 18:58:58, Boiler Status Update, Boiler Status changed to PrePurge.

16-09-2025 18:59:04, Boiler Status Update, Boiler Status changed to Lockout.

16-09-2025 18:59:04, Toggle Interlock, Interlock Switch toggled to Open.

16-09-2025 19:00:29, Boiler Status Update, Boiler Status changed to Lockout.

16-09-2025 19:00:29, Toggle Interlock, Interlock Switch toggled to Open.

16-09-2025 19:00:30, Toggle Interlock, Interlock Switch toggled to Closed.

16-09-2025 19:00:31, Boiler Status Update, Boiler Status changed to Ready.

16-09-2025 19:01:05, Boiler Status Update, Boiler Status changed to Lockout.

16-09-2025 19:01:05, Toggle Interlock, Interlock Switch toggled to Open.

16-09-2025 19:01:06, Toggle Interlock, Interlock Switch toggled to Closed.

16-09-2025 19:01:06, Boiler Status Update, Boiler Status changed to Ready.

16-09-2025 19:02:03, Boiler Status Update, Boiler Status changed to Lockout.

16-09-2025 19:02:03, Toggle Interlock, Interlock Switch toggled to Open.

16-09-2025 19:02:28, Toggle Interlock, Interlock Switch toggled to Closed.

16-09-2025 19:02:37, Boiler Status Update, Boiler Status changed to Ready.

16-09-2025 19:02:45, Boiler Status Update, Boiler Status changed to PrePurge.

16-09-2025 19:02:55, Boiler Status Update, Boiler Status changed to Ignition.

16-09-2025 19:03:05, Boiler Status Update, Boiler Status changed to Operational.

16-09-2025 19:03:09, Boiler Status Update, Boiler Status changed to Lockout.

16-09-2025 19:03:09, Toggle Interlock, Interlock Switch toggled to Open.
